ID,StartTime,Mode,ONodeID,DNodeID
1,37675,0,8479,170808
2,35719,0,37095,170808
3,38161,0,37169,170808
4,33303,0,130044,170808
5,37830,0,37125,170808
6,34051,0,129853,170808
7,33350,0,125365,170808
8,37674,0,129791,170808
9,35493,0,36635,170808
10,34630,0,130106,170808
11,32550,0,128862,170808
12,33014,0,129813,170808
13,33461,0,37154,170808
14,35765,0,40634,170808
15,32392,0,37227,170808
16,36566,0,172303,170808
17,32039,0,37060,170808
18,31796,0,33629,170808
19,36316,0,36687,170808
20,32083,0,130066,170808
21,31233,0,132703,170808
22,36768,0,132678,170808
23,37348,0,36625,170808
24,36687,0,128864,170808
25,35924,0,132707,170808
26,35985,0,129926,170808
27,34254,0,130097,170808
28,37856,0,130031,170808
29,35538,0,65894,170808
30,38045,0,36616,170808
31,31098,0,37061,170808
32,35973,0,37212,170808
33,36978,0,37327,170808
34,34643,0,36681,170808
35,32059,0,556,170808
36,38711,0,125362,170808
37,30151,0,130153,170808
38,33724,0,36639,170808
39,37328,0,129977,170808
40,30026,0,129853,170808
41,35470,0,36708,170808
42,32457,0,172303,170808
43,38189,0,132684,170808
44,34822,0,129938,170808
45,37009,0,129794,170808
46,34426,0,172304,170808
47,32755,0,129903,170808
48,34607,0,129789,170808
49,36022,0,129940,170808
50,33879,0,37187,170808
51,38801,0,130037,170808
52,37970,0,36605,170808
53,32073,0,33643,170808
54,31266,0,149652,170808
55,38360,0,65922,170808
56,36021,0,561,170808
57,36102,0,2644,170808
58,30601,0,65919,170808
59,37959,0,129985,170808
60,36558,0,37209,170808
61,37444,0,33656,170808
62,31086,0,38464,170808
63,32525,0,36686,170808
64,36441,0,65882,170808
65,36425,0,33622,170808
66,33259,0,36670,170808
67,38439,0,129895,170808
68,38736,0,2643,170808
69,33280,0,128856,170808
70,32648,0,37261,170808
71,30686,0,172314,170808
72,35016,0,37325,170808
73,31988,0,65899,170808
74,35928,0,129947,170808
75,33573,0,130048,170808
76,36004,0,129948,170808
77,31425,0,33628,170808
78,32626,0,130115,170808
79,30838,0,65892,170808
80,33949,0,129879,170808
81,32244,0,37056,170808
82,33270,0,147724,170808
83,34467,0,33643,170808
84,32471,0,159025,170808
85,35182,0,37229,170808
86,36297,0,168768,170808
87,38694,0,170475,170808
88,37646,0,160928,170808
89,31657,0,33644,170808
90,31960,0,37157,170808
91,30425,0,130053,170808
92,38057,0,118000,170808
93,32341,0,65457,170808
94,35503,0,162409,170808
95,32139,0,38477,170808
96,30110,0,162409,170808
97,30493,0,129998,170808
98,31409,0,129987,170808
99,31179,0,130052,170808
100,36026,0,129925,170808
101,38913,0,37155,170808
102,35548,0,129831,170808
103,36804,0,130028,170808
104,32637,0,129916,170808
105,34546,0,130104,170808
106,37397,0,129860,170808
107,37406,0,132689,170808
108,38231,0,132673,170808
109,30986,0,174433,170808
110,34082,0,33566,170808
111,33018,0,33624,170808
112,33874,0,37123,170808
113,31244,0,562,170808
114,38676,0,129953,170808
115,38456,0,132720,170808
116,35105,0,36634,170808
117,30047,0,36668,170808
118,31943,0,130070,170808
119,33428,0,168768,170808
120,30500,0,36678,170808
121,32061,0,37164,170808
122,32976,0,37228,170808
123,35286,0,130058,170808
124,30746,0,36651,170808
125,34675,0,36644,170808
126,34387,0,166036,170808
127,36815,0,33622,170808
128,34753,0,130137,170808
129,30602,0,36696,170808
130,35476,0,33600,170808
131,32787,0,37271,170808
132,30974,0,36652,170808
133,33558,0,36607,170808
134,38490,0,128856,170808
135,36355,0,129854,170808
136,38762,0,129863,170808
137,30207,0,130052,170808
138,36628,0,33620,170808
139,32550,0,130073,170808
140,33896,0,129275,170808
141,38224,0,130144,170808
142,35379,0,576,170808
143,33813,0,130041,170808
144,35511,0,159022,170808
145,38189,0,129930,170808
146,32514,0,37328,170808
147,32219,0,129895,170808
148,33100,0,37208,170808
149,31386,0,38480,170808
150,31021,0,125233,170808
151,33987,0,37241,170808
152,34492,0,130033,170808
153,36839,0,132683,170808
154,34147,0,176015,170808
155,31993,0,130162,170808
156,36766,0,37088,170808
157,30565,0,130150,170808
158,35799,0,129878,170808
159,32015,0,33615,170808
160,34647,0,132685,170808
161,36850,0,38475,170808
162,36449,0,132664,170808
163,36647,0,132695,170808
164,35867,0,36599,170808
165,31763,0,130099,170808
166,34926,0,129933,170808
167,31507,0,129913,170808
168,32019,0,125183,170808
169,31337,0,129806,170808
170,38537,0,33635,170808
171,34341,0,129977,170808
172,37648,0,118011,170808
173,36937,0,37196,170808
174,38815,0,132691,170808
175,35425,0,65918,170808
176,36053,0,37159,170808
177,34094,0,37238,170808
178,38673,0,36687,170808
179,34625,0,130002,170808
180,30477,0,147723,170808
181,38544,0,129995,170808
182,33007,0,129926,170808
183,31591,0,65916,170808
184,36207,0,132707,170808
185,35847,0,132711,170808
186,35518,0,132726,170808
187,33570,0,36635,170808
188,35063,0,37139,170808
189,37948,0,132644,170808
190,31705,0,36635,170808
191,33656,0,37199,170808
192,34451,0,129795,170808
193,38248,0,37049,170808
194,33312,0,37090,170808
195,35931,0,37104,170808
196,38750,0,130056,170808
197,31215,0,125236,170808
198,34472,0,129929,170808
199,35635,0,36587,170808
200,37222,0,36700,170808
201,32772,0,129981,170808
202,31902,0,132710,170808
203,37930,0,128849,170808
204,35807,0,37335,170808
205,31545,0,170811,170808
206,38885,0,164255,170808
207,33856,0,129937,170808
208,33459,0,36595,170808
209,31402,0,129988,170808
210,35700,0,132647,170808
211,37650,0,172305,170808
212,34033,0,37330,170808
213,33421,0,125237,170808
214,31148,0,117998,170808
215,35791,0,129919,170808
216,38373,0,36639,170808
217,31496,0,581,170808
218,36836,0,37257,170808
219,30576,0,132672,170808
220,37678,0,37189,170808
221,37578,0,129886,170808
222,30410,0,40633,170808
223,31428,0,36656,170808
224,38037,0,37055,170808
225,32164,0,37094,170808
226,34697,0,37103,170808
227,37403,0,36598,170808
228,30535,0,65895,170808
229,37156,0,172144,170808
230,30130,0,125232,170808
231,32197,0,130143,170808
232,37397,0,129789,170808
233,31501,0,129882,170808
234,30895,0,166036,170808
235,31271,0,37164,170808
236,38960,0,33638,170808
237,31765,0,65445,170808
238,32019,0,37084,170808
239,37490,0,36697,170808
240,38432,0,37210,170808
241,32521,0,37265,170808
242,32967,0,128855,170808
243,32411,0,37152,170808
244,33144,0,37169,170808
245,31078,0,160944,170808
246,33158,0,132702,170808
247,34576,0,130103,170808
248,34534,0,130075,170808
249,35689,0,65453,170808
250,33302,0,65921,170808
251,34074,0,36672,170808
252,34812,0,36606,170808
253,36455,0,36596,170808
254,31921,0,36703,170808
255,33550,0,129909,170808
256,38928,0,33615,170808
257,37947,0,36588,170808
258,36374,0,37143,170808
259,35782,0,130098,170808
260,36278,0,172145,170808
261,34565,0,37138,170808
262,38885,0,37164,170808
263,34806,0,166035,170808
264,32747,0,129966,170808
265,36433,0,37253,170808
266,33282,0,33559,170808
267,37899,0,36697,170808
268,31138,0,36649,170808
269,36966,0,132696,170808
270,32604,0,164256,170808
271,37293,0,38463,170808
272,37609,0,129878,170808
273,38576,0,65449,170808
274,31299,0,129897,170808
275,32348,0,36608,170808
276,38788,0,37256,170808
277,30223,0,33559,170808
278,35705,0,37052,170808
279,32144,0,130119,170808
280,31608,0,132653,170808
281,35998,0,129898,170808
282,38447,0,132683,170808
283,37751,0,37327,170808
284,34907,0,128854,170808
285,38077,0,33588,170808
286,30231,0,130162,170808
287,31142,0,129823,170808
288,32317,0,33660,170808
289,34064,0,36654,170808
290,34753,0,130086,170808
291,36113,0,65440,170808
292,35594,0,130070,170808
293,38468,0,33624,170808
294,34521,0,129271,170808
295,33436,0,37141,170808
296,37601,0,36653,170808
297,38273,0,37138,170808
298,38326,0,37121,170808
299,32285,0,36589,170808
300,34444,0,36612,170808
301,30436,0,130145,170808
302,37171,0,130009,170808
303,35637,0,118014,170808
304,35820,0,165130,170808
305,36809,0,129270,170808
306,30263,0,37062,170808
307,34273,0,172145,170808
308,32160,0,37331,170808
309,37492,0,132667,170808
310,32832,0,40636,170808
311,38369,0,37095,170808
312,34459,0,37284,170808
313,31280,0,132767,170808
314,32626,0,118005,170808
315,35677,0,129813,170808
316,36372,0,129995,170808
317,36868,0,36689,170808
318,36948,0,577,170808
319,31884,0,40633,170808
320,36208,0,38475,170808
321,36366,0,130084,170808
322,36459,0,130013,170808
323,35646,0,36636,170808
324,37160,0,132648,170808
325,31952,0,132663,170808
326,36268,0,33587,170808
327,31174,0,130117,170808
328,33662,0,129982,170808
329,35192,0,37185,170808
330,34974,0,125359,170808
331,34551,0,38475,170808
332,30487,0,33588,170808
333,32351,0,128843,170808
334,34996,0,37200,170808
335,36589,0,130005,170808
336,33193,0,37305,170808
337,34702,0,132747,170808
338,38947,0,132668,170808
339,30053,0,129851,170808
340,31759,0,37151,170808
341,35167,0,37219,170808
342,33085,0,33561,170808
343,35440,0,130038,170808
344,38417,0,37141,170808
345,38987,0,130110,170808
346,31722,0,130034,170808
347,32381,0,129872,170808
348,30490,0,129898,170808
349,37308,0,129964,170808
350,37662,0,129971,170808
351,34683,0,36655,170808
352,38447,0,117998,170808
353,32141,0,129852,170808
354,37190,0,37254,170808
355,34002,0,118006,170808
356,37481,0,132717,170808
357,34477,0,117999,170808
358,33454,0,129839,170808
359,33222,0,132654,170808
360,37794,0,37082,170808
361,34418,0,37155,170808
362,35412,0,36625,170808
363,33856,0,132717,170808
364,31564,0,129964,170808
365,33134,0,37218,170808
366,31729,0,129854,170808
367,38548,0,129961,170808
368,34330,0,33662,170808
369,37055,0,129992,170808
370,31879,0,38473,170808
371,30842,0,129823,170808
372,30310,0,160930,170808
373,37814,0,130108,170808
374,34544,0,159022,170808
375,31200,0,164222,170808
376,32166,0,65882,170808
377,36009,0,125187,170808
378,36212,0,132726,170808
379,38071,0,129979,170808
380,37451,0,37213,170808
381,35667,0,130097,170808
382,32845,0,129973,170808
383,31084,0,129853,170808
384,31913,0,129926,170808
385,32342,0,132742,170808
386,38127,0,130057,170808
387,33919,0,37051,170808
388,34488,0,132670,170808
389,30560,0,129890,170808
390,36743,0,132683,170808
391,32560,0,33657,170808
392,37705,0,129889,170808
393,37746,0,129932,170808
394,37602,0,37244,170808
395,38090,0,130121,170808
396,33860,0,36700,170808
397,30171,0,36656,170808
398,30646,0,32443,170808
399,30166,0,129951,170808
400,33932,0,38473,170808
401,37847,0,37164,170808
402,35208,0,130090,170808
403,35540,0,172309,170808
404,37853,0,164257,170808
405,32770,0,37301,170808
406,34269,0,129917,170808
407,36668,0,33588,170808
408,35478,0,160930,170808
409,30607,0,33579,170808
410,37512,0,129826,170808
411,30073,0,129876,170808
412,37823,0,130087,170808
413,33132,0,65445,170808
414,36569,0,65923,170808
415,36122,0,37091,170808
416,31505,0,128857,170808
417,33182,0,36651,170808
418,38467,0,36637,170808
419,36368,0,118020,170808
420,30615,0,33634,170808
421,33459,0,36702,170808
422,38935,0,132696,170808
423,30257,0,37173,170808
424,32920,0,160931,170808
425,34068,0,37251,170808
