ID,StartTime,EndTime,Mode,ONodeID,DNodeID,Purpose,Expansion
301,30000,31800,3,37484,132819,0,0
302,30000,31800,3,36185,36023,0,0
303,30000,31800,3,172826,50185,0,0
304,30000,31800,3,69284,69288,0,0
305,30000,31800,3,133218,55506,0,0
306,30000,31800,3,18493,175961,0,0
307,30000,31800,3,78319,78213,0,0
308,30000,31800,3,132541,91833,0,0
309,30000,31800,3,65355,124504,0,0
310,30000,31800,3,11439,132492,0,0
311,30000,31800,3,57826,57792,0,0
312,30000,31800,3,81939,132492,0,0
313,30000,31800,3,81204,57792,0,0
314,30000,31800,3,18482,161154,0,0
315,30000,31800,3,112084,136208,0,0
316,30000,31800,3,52835,112341,0,0
317,30000,31800,3,112111,69299,0,0
318,30000,31800,3,161159,161154,0,0
319,30000,31800,3,65161,69169,0,0
320,30000,31800,3,65367,65365,0,0
321,30000,31800,3,78261,132492,0,0
322,30000,31800,3,51876,81169,0,0
323,30000,31800,3,112108,136208,0,0
324,30000,31800,3,132541,91833,0,0
325,30000,31800,3,11442,78213,0,0
326,30000,31800,3,81886,132492,0,0
327,30000,31800,3,69264,69288,0,0
328,30000,31800,3,143372,55506,0,0
329,30000,31800,3,170172,65358,0,0
330,30000,31800,3,53001,50185,0,0
331,30000,31800,3,78214,78213,0,0
332,30000,31800,3,134515,50185,0,0
333,30000,31800,3,57768,57792,0,0
334,30000,31800,3,50476,132492,0,0
335,30000,31800,3,69272,69288,0,0
336,30000,31800,3,65134,57792,0,0
337,30000,31800,3,163787,147707,0,0
338,30000,31800,3,52985,50185,0,0
339,30000,31800,3,11446,132492,0,0
340,30000,31800,3,118867,175961,0,0
341,30000,31800,3,112051,161154,0,0
342,30000,31800,3,133219,55506,0,0
343,30000,31800,3,35954,81169,0,0
344,30000,31800,3,161135,132819,0,0
345,30000,31800,3,11439,132492,0,0
346,30000,31800,3,50537,81169,0,0
347,30000,31800,3,65115,37487,0,0
348,30000,31800,3,81023,81193,0,0
349,30000,31800,3,132898,132819,0,0
350,30000,31800,3,69281,126352,0,0
351,30000,31800,3,1501,69169,0,0
352,30000,31800,3,69297,69169,0,0
353,30000,31800,3,112057,55506,0,0
354,30000,31800,3,35906,133231,0,0
355,30000,31800,3,136200,161154,0,0
356,30000,31800,3,52654,81169,0,0
357,30000,31800,3,81076,78213,0,0
358,30000,31800,3,81898,132492,0,0
359,30000,31800,3,81021,81193,0,0
360,30000,31800,3,1508,68974,0,0
361,30000,31800,3,90688,65365,0,0
362,30000,31800,3,81160,78213,0,0
363,30000,31800,3,136207,161154,0,0
364,30000,31800,3,68964,69169,0,0
365,30000,31800,3,28685,50185,0,0
366,30000,31800,3,81869,78213,0,0
367,30000,31800,3,51877,81169,0,0
368,30000,31800,3,11451,78213,0,0
369,30000,31800,3,1905,69169,0,0
370,30000,31800,3,81193,81193,0,0
371,30000,31800,3,136224,136208,0,0
372,30000,31800,3,65119,78213,0,0
373,30000,31800,3,57804,112341,0,0
374,30000,31800,3,133236,69288,0,0
375,30000,31800,3,118872,175961,0,0
376,30000,31800,3,118874,1535,0,0
377,30000,31800,3,7937,132492,0,0
378,30000,31800,3,173580,132492,0,0
379,30000,31800,3,35906,133231,0,0
380,30000,31800,3,90682,90675,0,0
381,30000,31800,3,81184,78213,0,0
382,30000,31800,3,53456,132492,0,0
383,30000,31800,3,132465,53440,0,0
384,30000,31800,3,4090,37487,0,0
385,30000,31800,3,11453,78213,0,0
386,30000,31800,3,174584,50185,0,0
387,30000,31800,3,69855,151326,0,0
388,30000,31800,3,69278,151326,0,0
389,30000,31800,3,50476,132492,0,0
390,30000,31800,3,142594,69288,0,0
391,30000,31800,3,68970,68974,0,0
392,30000,31800,3,81901,132492,0,0
393,30000,31800,3,147713,147707,0,0
394,30000,31800,3,78263,78213,0,0
395,30000,31800,3,136236,143375,0,0
396,30000,31800,3,12605,55506,0,0
397,30000,31800,3,132906,78213,0,0
398,30000,31800,3,68949,68950,0,0
399,30000,31800,3,51786,81169,0,0
400,30000,31800,3,91842,91814,0,0
401,30000,31800,3,68964,69169,0,0
402,30000,31800,3,132534,151326,0,0
